Last Activity,Account Name,Billing State/Province,Type,Last Modified Date,Total Contacts,Total Opportunities,Website,Domain,CRD Number,Brochure URL
,55I,Massachusetts,Prospect,1/10/2026,1,0,https://www.liga5x5.ru,55-ip.com,286620,https://files.adviserinfo.sec.gov/IAPD/Content/Common/crd_iapd_Brochure.aspx?BRCHR_VRSN_ID=988407
,Aigen Inves,New York,Prospect,1/10/2026,0,0,http://www.argus-im.com,aigen-im.com,297391,https://files.adviserinfo.sec.gov/IAPD/Content/Common/crd_iapd_Brochure.aspx?BRCHR_VRSN_ID=952932
1/12/2026,Allen Invest,New York,Prospect,1/12/2026,17,0,https://www.allenim.com,allenim.com,124454,https://files.adviserinfo.sec.gov/IAPD/Content/Common/crd_iapd_Brochure.aspx?BRCHR_VRSN_ID=963364
,Alluvial Cap,Pennsylvania,Prospect,1/10/2026,0,0,https://allu.alluvialcapital.com,alluvialcapital.com,169638,https://files.adviserinfo.sec.gov/IAPD/Content/Common/crd_iapd_Brochure.aspx?BRCHR_VRSN_ID=992817
10/14/2025,AlphaSimplex,Massachusetts,Prospect,1/10/2026,12,0,https://www.alphasimplex.com,alphasimplex.com,128356,https://files.adviserinfo.sec.gov/IAPD/Content/Common/crd_iapd_Brochure.aspx?BRCHR_VRSN_ID=998540
12/9/2025,Alpha Wave,New York,Prospect,1/15/2026,5,0,https://alph.alphawaveglobal.com,alphawaveglobal.com,160894,https://files.adviserinfo.sec.gov/IAPD/Content/Common/crd_iapd_Brochure.aspx?BRCHR_VRSN_ID=968708
,Avik Capita,Texas,Prospect,1/10/2026,0,0,,buzzfile.com,142599,https://files.adviserinfo.sec.gov/IAPD/Content/Common/crd_iapd_Brochure.aspx?BRCHR_VRSN_ID=942370
,Basso Capi,Connecticut,Prospect,1/10/2026,0,0,https://www.bassocap.com,bassocapital.com,132311,https://files.adviserinfo.sec.gov/IAPD/Content/Common/crd_iapd_Brochure.aspx?BRCHR_VRSN_ID=982510
4/22/2025,Black Brook,New York,Prospect,1/10/2026,1,0,http://www.bbcapman.com,bbcapman.com,329262,https://files.adviserinfo.sec.gov/IAPD/Content/Common/crd_iapd_Brochure.aspx?BRCHR_VRSN_ID=988201
10/28/2025,Blue Water,California,Prospect,1/10/2026,3,0,,bluewaterlifescienceadvisors.com,306450,https://files.adviserinfo.sec.gov/IAPD/Content/Common/crd_iapd_Brochure.aspx?BRCHR_VRSN_ID=958331
,Boxer Capit,California,Prospect,1/10/2026,1,0,https://www.boxercap.com,boxercap.com,330106,https://files.adviserinfo.sec.gov/IAPD/Content/Common/crd_iapd_Brochure.aspx?BRCHR_VRSN_ID=970690
,Broadcrest,Florida,Prospect,1/10/2026,3,0,,sec.gov,287590,https://files.adviserinfo.sec.gov/IAPD/Content/Common/crd_iapd_Brochure.aspx?BRCHR_VRSN_ID=954188
,Brookfield,Ontario,Prospect,1/10/2026,0,0,https://www.sec.gov,brookfield.com,151605,https://files.adviserinfo.sec.gov/IAPD/Content/Common/crd_iapd_Brochure.aspx?BRCHR_VRSN_ID=984875
,Capital Sol,Central Region,Prospect,1/14/2026,1,0,https://www.capitaldealersolutions.com,capitalsolutionsug.com,283533,https://files.adviserinfo.sec.gov/IAPD/Content/Common/crd_iapd_Brochure.aspx?BRCHR_VRSN_ID=586990
,Center Lake,Florida,Prospect,1/10/2026,0,0,,sec.gov,174311,https://files.adviserinfo.sec.gov/IAPD/Content/Common/crd_iapd_Brochure.aspx?BRCHR_VRSN_ID=973918
,CFI Partners,Illinois,Prospect,1/14/2026,10,0,http://www.cfipartners.com,cfipartners.com,139531,https://files.adviserinfo.sec.gov/IAPD/Content/Common/crd_iapd_Brochure.aspx?BRCHR_VRSN_ID=988467
,Checkpoint,California,Prospect,1/10/2026,0,0,https://che.checkpointlp.com,checkpointlp.com,325763,https://files.adviserinfo.sec.gov/IAPD/Content/Common/crd_iapd_Brochure.aspx?BRCHR_VRSN_ID=988005
,Coach,New York,Prospect,1/14/2026,1,0,https://www.coach.com,coach.com,170478,https://files.adviserinfo.sec.gov/IAPD/Content/Common/crd_iapd_Brochure.aspx?BRCHR_VRSN_ID=936085
,Collaborati,New York,Prospect,1/10/2026,0,0,,sec.gov,308943,https://files.adviserinfo.sec.gov/IAPD/Content/Common/crd_iapd_Brochure.aspx?BRCHR_VRSN_ID=829670
,Commodore,New York,Prospect,1/14/2026,5,0,https://www.commodorecapital.com,commodorecapital.com,304370,https://files.adviserinfo.sec.gov/IAPD/Content/Common/crd_iapd_Brochure.aspx?BRCHR_VRSN_ID=962109
,Congruence,California,Prospect,1/10/2026,0,0,http://www.congruencecapital.com,congruencecapital.com,328559,https://files.adviserinfo.sec.gov/IAPD/Content/Common/crd_iapd_Brochure.aspx?BRCHR_VRSN_ID=979324
,Converium Capital Inc,California,Prospect,1/14/2026,1,0,https://con.converiumcap.com,converiumcap.com,312880,https://files.adviserinfo.sec.gov/IAPD/Content/Common/crd_iapd_Brochure.aspx?BRCHR_VRSN_ID=963326
8/20/2025,Copernicus,California,Prospect,1/10/2026,1,0,https://www.cocapllc.com,cocapllc.com,168302,https://files.adviserinfo.sec.gov/IAPD/Content/Common/crd_iapd_Brochure.aspx?BRCHR_VRSN_ID=704701
,Crescat Por,Colorado,Prospect,1/10/2026,0,0,,crescat.net,139620,https://files.adviserinfo.sec.gov/IAPD/Content/Common/crd_iapd_Brochure.aspx?BRCHR_VRSN_ID=957746
,Deuterium,Florida,Prospect,1/10/2026,0,0,https://deu.deuterium.us,deuterium.us,294051,https://files.adviserinfo.sec.gov/IAPD/Content/Common/crd_iapd_Brochure.aspx?BRCHR_VRSN_ID=976518
,Dimension,Texas,Prospect,1/20/2026,188,0,https://www.dimensional.com,dimensional.com,107472,https://files.adviserinfo.sec.gov/IAPD/Content/Common/crd_iapd_Brochure.aspx?BRCHR_VRSN_ID=970620
