Last Activity,Account Name,Billing State/Province,Type,Last Modified Date,Total Contacts,Total Opportunities
1/20/2026,Dimension Kemper Capital Management,New York,Prospect,1/20/2026,299,17
1/13/2026,Hound Partners,New York,Prospect,1/13/2026,15,5
1/15/2026,Long Pond Capital,New York,Prospect,1/15/2026,15,5
1/13/2026,Azora Capital,Florida,Customer,1/20/2026,7,5
1/13/2026,Blockhouse Investments,Illinois,Prospect,1/13/2026,9,4
1/12/2026,Sachem Head Capital Management,New York,Prospect,1/12/2026,12,3
8/19/2025,12 West Capital Management,New York,Prospect,1/10/2026,9,3
1/12/2026,Seguro Capital Management,Arizona,Prospect,1/12/2026,4,3
2/24/2026,Analog Century Management,New York,Prospect,1/18/2026,2,3
1/28/2026,Fifth Delta,Prospect,Prospect,1/10/2026,1,3
1/12/2026,Alision Capital,New York,Prospect,1/13/2026,40,2
1/12/2026,Aristeia Capital,Connecticut,Prospect,1/14/2026,35,2
1/19/2026,Engine No. 1 LLC,California,Prospect,1/18/2026,10,2
1/9/2026,Permian Investment Partners,England,Prospect,1/10/2026,9,2
1/13/2026,Pleasant Lake Partners,New York,Prospect,1/20/2026,9,2
1/12/2026,59 North Capital,Texas,Prospect,1/12/2026,4,2
10/13/2025,Diker Management LLC,New York,Prospect,1/10/2026,1,2
1/6/2026,GIF Management LLC,New York,Prospect,1/10/2026,1,2
1/16/2026,CPP Investments,,Prospect,1/14/2026,620,1
1/13/2026,King Street Capital Management,New York,Prospect,1/13/2026,118,1
1/13/2026,Neurone Kinetics Asset Management,New York,Prospect,1/10/2026,10,1
1/9/2026,Redmile Group,California,Prospect,1/10/2026,6,1
1/13/2026,Apis Capital Advisors,New York,Prospect,1/12/2026,7,1
1/12/2026,Prana Capital Management,Connecticut,Prospect,1/12/2026,6,1
1/12/2026,Avanti Capital Management,Connecticut,Prospect,1/13/2026,6,1
1/12/2026,Brightline Capital,Florida,Prospect,1/12/2026,6,1
1/13/2026,Unicorn Capital,Colorado,Prospect,1/13/2026,5,1
1/12/2026,Corronade Capital Management,Connecticut,Prospect,1/12/2026,4,1
1/6/2025,EdgeHill Partners LLC,Ontario,Prospect,1/10/2026,4,1
1/20/2026,Polymer Capital,New York,Prospect,1/29/2026,4,1
1/9/2026,Saikon Capital,California,Prospect,1/10/2026,3,1
5/13/2025,RR Advisors LLC,Texas,Prospect,1/10/2026,3,1
4/23/2025,HGC Investment Management Inc.,Ontario,Prospect,1/10/2026,3,1
8/14/2025,Welch Capital Partners LLC,New York,Prospect,1/10/2026,2,1
5/15/2026,Ranger Alternative Management L.P.,Texas,Prospect,1/10/2026,2,1
11/18/2025,VictoryArc Holdings,,Prospect,1/10/2026,2,1
5/18/2025,Phoenician Capital,New York,Prospect,1/10/2026,1,1
9/15/2025,Aplomado Advisors,Texas,Prospect,1/10/2026,1,1
3/25/2025,Mink Brook Asset Management LLC,New Hampshire,Prospect,1/10/2026,1,1
11/21/2025,Glades Peak Capital LP,Connecticut,Prospect,1/10/2026,1,1
10/20/2025,Third Wave Capital,California,Prospect,1/10/2026,1,1
1/20/2026,Gradient Ridge,,Prospect,1/10/2026,1,1
,Dimensional Fund Advisors,Texas,Prospect,1/14/2026,175,0
1/14/2026,Fisher Investments,Texas,Prospect,1/20/2026,53,0
,Tapestry,New York,Prospect,1/15/2026,48,0
,Geode Capital Management,Massachusetts,Prospect,1/14/2026,32,0
,Littlejohn & Co. LLC,Connecticut,Prospect,1/14/2026,30,0
,Voleon Capital Management L.P.,California,Prospect,1/14/2026,29,0
7/19/2022,First Trust Advisors,Illinois,Prospect,1/10/2026,21,0
1/12/2026,Allen Investment Management,New York,Prospect,1/12/2026,17,0
,Southern Ridge Capital (USA) LLC,New York,Prospect,1/14/2026,17,0
10/14/2025,AlphaSimplex,Massachusetts,Prospect,1/10/2026,12,0
,POT Partners LLC,New York,Prospect,1/14/2026,12,0
,Monarch Investment Management,,Prospect,1/10/2026,11,0
6/17/2022,HighTower Advisors,Illinois,Prospect,1/10/2026,10,0
,CFI Partners,Illinois,Prospect,1/14/2026,10,0
1/14/2026,Aisling Capital,New York,Prospect,1/14/2026,9,0
1/6/2026,Avala Global,New York,Prospect,1/10/2026,6,0
,AFBI,Florida,Prospect,1/14/2026,6,0
12/9/2025,Alpha Wave Global,,Prospect,1/15/2026,5,0
,Commodore Capital,New York,Prospect,1/14/2026,5,0
7/15/2025,Mill Road Capital Management LLC,Connecticut,Prospect,1/10/2026,5,0
11/20/2025,Periwinkle Trading LLC,District of Columbia,Prospect,1/10/2026,5,0
,Welton Investment Partners LLC,California,Prospect,1/14/2026,5,0
,Johnson & Johnson,New Jersey,Prospect,1/20/2026,5,0
1/14/2026,Omega Fund Management LLC,Massachusetts,Prospect,1/14/2026,4,0
1/5/2026,Capital Research Global Investors (U.S.),California,Prospect,1/14/2026,4,0
,Spruceview Capital Partners,Colorado,Prospect,1/14/2026,4,0
1/14/2026,H Partners Management,New York,Prospect,1/14/2026,3,0
1/12/2026,Voss Capital,Texas,Prospect,1/12/2026,3,0
6/18/2025,Woodmont Investment Counsel,Tennessee,Prospect,1/10/2026,3,0
10/28/2025,Blue Water Life Science Advisors LLC,California,Prospect,1/10/2026,3,0
8/11/2025,Sheffield Asset Management LLC,Illinois,Prospect,1/10/2026,3,0
,Broadcoast Asset Management LLC,Florida,Prospect,1/10/2026,3,0
2/5/2025,The Magnolia Group,Nebraska,Prospect,1/10/2026,2,0
7/19/2024,Voyager Global Management,New York,Prospect,1/10/2026,2,0
9/4/2024,Templeton and Phillips Capital Management LLC,Tennessee,Prospect,1/10/2026,2,0
1/9/2026,Trails Edge Capital,Georgia,Prospect,1/10/2026,2,0
1/14/2026,CPPIB,,England,Prospect,1/14/2026,2,0
,55I,Massachusetts,Prospect,1/10/2026,1,0
,CH Management LLC,Florida,Prospect,1/10/2026,1,0
6/2/2025,Ursa Fund Management LLC,California,Prospect,1/10/2026,1,0
4/22/2025,Black Brook Capital Management LLC,New York,Prospect,1/10/2026,1,0
9/17/2025,Park City Capital LLC,Texas,Prospect,1/10/2026,1,0
,Nanes Balakay Investments LLC,New York,Prospect,1/10/2026,1,0
1/13/2026,IBS Capital LLC,Massachusetts,Prospect,1/13/2026,1,0
8/20/2025,Copernicus Capital Management,California,Prospect,1/10/2026,1,0
,Harris Associates,Illinois,Prospect,1/10/2026,1,0
,Double Eagle Capital Management L.P.,Texas,Prospect,1/14/2026,1,0
,Converium Capital Inc.,California,Prospect,1/14/2026,1,0
,Boxer Capital Management LLC,California,Prospect,1/10/2026,1,0
,Coach,New York,,Prospect,1/14/2026,1,0
,Capital Solutions,Central Region,,Prospect,1/14/2026,1,0
,Founders Circle Capital,California,Prospect,1/14/2026,1,0
,GTSF Investments Committee,Georgia,Prospect,1/14/2026,1,0
,Green Finance Institute,England,Prospect,1/14/2026,1,0
,Emerging Leaders Program Bx,New York,Prospect,1/14/2026,1,0
,Arcustis,Connecticut,Prospect,1/14/2026,1,0
,Fantastic Voyage Labs,Massachusetts,Prospect,1/14/2026,1,0
,Dartmouth Partners,England,Prospect,1/14/2026,1,0
,Animoca Brands,,Prospect,1/14/2026,1,0
,Baxter International Inc.,Illinois,Prospect,1/10/2026,1,0
,Aigen Investment Management,New York,Prospect,1/10/2026,0,0
,UAS Asset Management,New York,Prospect,1/10/2026,0,0
,Mackenzie Financial Corporation,Ontario,Prospect,1/10/2026,0,0
,Empirical Capital Management LLC,Tennessee,Prospect,1/10/2026,0,0
,Inukshuk Capital Management,Ontario,Prospect,1/10/2026,0,0
,Key Colony Management LLC,Arkansas,Prospect,1/10/2026,0,0
,Envisage Capital Management LLC,California,Prospect,1/10/2026,0,0
,Hot Creek Capital LLC,Washington,Prospect,1/10/2026,0,0
,Washington Asset Management LTD,New York,Prospect,1/10/2026,0,0
,Choice Equities Capital Management LLC,North Carolina,Prospect,1/10/2026,0,0
,Oberon Asset Management LLC,New York,Prospect,1/10/2026,0,0
,Basso Capital Management L.P.,Connecticut,Prospect,1/10/2026,0,0
,Berbice Capital Management LLC,New York,Prospect,1/10/2026,0,0
,Callisto Capital Management Inc.,Connecticut,Prospect,1/10/2026,0,0
,Arable Management LLC,New York,Prospect,1/10/2026,0,0
,Avik Capital Management LLC,Texas,Prospect,1/10/2026,0,0
,Caravan Global Investments LLC,Delaware,Prospect,1/10/2026,0,0
,Inflection Asset Management LLC,British Columbia,Prospect,1/10/2026,0,0
,Niles Investment Management LLC,Florida,Prospect,1/10/2026,0,0
,Quant Capital Management LLC,New York,Prospect,1/10/2026,0,0
,Verist Capital Management LLC,Texas,Prospect,1/10/2026,0,0
,White Noise Partners LLC,New York,Prospect,1/10/2026,0,0
,Deuterium Capital Management LLC,Florida,Prospect,1/10/2026,0,0
,Euphrates Advisors LLC,District of Columbia,Prospect,1/10/2026,0,0
,Frontier Global Partners LLC,Massachusetts,Prospect,1/10/2026,0,0
,Riskowitz Capital Management LLC,New York,Prospect,1/10/2026,0,0
,P. Schoenfeld Asset Management L.P.,New York,Prospect,1/10/2026,0,0
,Acqua Capital Management Company,Ontario,Prospect,1/10/2026,0,0
,Delour Capital Management LLC,New York,Prospect,1/10/2026,0,0
,Endeavor Capital LLC,New York,Prospect,1/10/2026,0,0
,Center Lake Capital Management LLC,Florida,Prospect,1/10/2026,0,0
,Collaborative Holdings Management L.P.,New York,Prospect,1/10/2026,0,0
,Dynasty Wealth Management LLC,New York,Prospect,1/10/2026,0,0
,Nicoya Capital LLC,California,Prospect,1/10/2026,0,0
,Avante Global Management L.P.,Massachusetts,Prospect,1/10/2026,0,0
,Lion Point Capital L.P.,New York,Prospect,1/10/2026,0,0
,Global Frontiers Management LLC,Virginia,Prospect,1/10/2026,0,0
,Checkpoint Capital L.P.,California,Prospect,1/10/2026,0,0
,Edge Capital Management LLC (U.S),New York,Prospect,1/10/2026,0,0
,R&F LLC,California,Prospect,1/10/2026,0,0
,Shipyard Capital Management LLC,New Jersey,Prospect,1/10/2026,0,0
,Globis Capital Management L.P.,New York,Prospect,1/10/2026,0,0
,Net Return Asset Management LLC,New York,Prospect,1/10/2026,0,0
,Tapestry Asset Management LP,New Jersey,Prospect,1/10/2026,0,0
,Care Capital Group LLC,New York,Prospect,1/10/2026,0,0
,Cymru Strategic Growth Funds Inc.,Pennsylvania,Prospect,1/10/2026,0,0
,Hillis Management Company LLC,Pennsylvania,Prospect,1/10/2026,0,0
,VWK Capital Management Inc.,Ontario,Prospect,1/10/2026,0,0
,Growth Interface Management LLC,Florida,Prospect,1/10/2026,0,0
,VI Capital Management LLC,Washington,Prospect,1/10/2026,0,0
,Crescat Portfolio Management LLC,Colorado,Prospect,1/10/2026,0,0
,JAT Capital Partners L.P.,Texas,Prospect,1/10/2026,0,0
,Jasper Partners LLC,California,Prospect,1/10/2026,0,0
,Jasper Capital Management L.P. (U.S.),Maryland,Prospect,1/10/2026,0,0
,Congruence Capital LLC,California,Prospect,1/10/2026,0,0
,Aluvial Capital Management LLC,Pennsylvania,Prospect,1/10/2026,0,0
,Brookfield Asset Management Private Institutional Capital Adviser (Canada) L.P.,Ontario,Prospect,1/10/2026,0,0
